giornata,data,ora,teamA,teamB,pt A,pt B,teamA_slug,teamB_slug
9°GIORNATA,DOMENICA 22 NOVEMBRE,Ore 18.00 ,Fortitudo Lavoropiù Bologna,Virtus Bologna,71,91,Fortitudo Bologna,Virtus Bologna
9°GIORNATA,DOMENICA 22 NOVEMBRE,Ore 19.00 ,Dolomiti Energia Trento,Openjobmetis Varese,74,77,Trento,Varese
9°GIORNATA,DOMENICA 22 NOVEMBRE,Ore 19.30 ,Happy Casa Brindisi,Germani Brescia,74,71,Brindisi,Brescia
9°GIORNATA,DOMENICA 22 NOVEMBRE,Ore 20.45 ,Carpegna Prosciutto Pesaro,Unahotels Reggio Emilia,84,63,Pesaro,Emilia
9°GIORNATA,DOMENICA 22 NOVEMBRE,RINVIATA ,Vanoli Cremona,Banco di Sardegna Sassari,75,95,Cremona,Sassari
10°GIORNATA,SABATO 5 DICEMBRE,Ore 20.00 ,Germani Brescia,Fortitudo Lavoropiù Bologna,99,85,Brescia,Fortitudo Bologna
10°GIORNATA,DOMENICA 6 DICEMBRE,Ore 16.00 ,Virtus Bologna,Banco di Sardegna Sassari,78,83,Virtus Bologna,Sassari
10°GIORNATA,DOMENICA 6 DICEMBRE,Ore 17.00 ,Umana Reyer Venezia,Dolomiti Energia Trento,71,79,Venezia,Trento
10°GIORNATA,DOMENICA 6 DICEMBRE,Ore 17.30 ,Openjobmetis Varese,A|X Armani Exchange Milano,70,96,Varese,Milano
10°GIORNATA,DOMENICA 6 DICEMBRE,Ore 17.30 ,De’Longhi Treviso,Carpegna Prosciutto Pesaro,91,81,Treviso,Pesaro
10°GIORNATA,DOMENICA 6 DICEMBRE,Ore 18.00 ,Happy Casa Brindisi,Acqua S.Bernardo Cantù,85,71,Brindisi,Cantù
10°GIORNATA,DOMENICA 6 DICEMBRE,Ore 19.00 ,Unahotels Reggio Emilia,Vanoli Cremona,56,85,Emilia,Cremona
11° GIORNATA,SABATO 12 DICEMBRE,Ore 20:30 ,Carpegna Prosciutto Pesaro,Fortitudo Lavoropiù Bologna,70,78,Pesaro,Fortitudo Bologna
11° GIORNATA,DOMENICA 13 DICEMBRE,Ore 16:00 ,Banco di Sardegna Sassari,De’Longhi Treviso,97,93,Sassari,Treviso
11° GIORNATA,DOMENICA 13 DICEMBRE,Ore 16:30 ,Germani Brescia,Umana Reyer Venezia,71,69,Brescia,Venezia
11° GIORNATA,DOMENICA 13 DICEMBRE,Ore 17:00 ,A|X Armani Exchange Milano,Happy Casa Brindisi,82,88,Milano,Brindisi
11° GIORNATA,DOMENICA 13 DICEMBRE,Ore 18:00 ,Allianz Trieste,Virtus Bologna,60,77,Trieste,Virtus Bologna
11° GIORNATA,DOMENICA 13 DICEMBRE,Ore 18:30 ,Openjobmetis Varese,Unahotels Reggio Emilia,76,89,Varese,Emilia
